Date,Open,High,Low,Close,Volume,Market Cap
May-13-2022,48.6928,52.72123575686078,46.15094729320151,52.3534,3381385696.888889,16786312583.192562
May-12-2022,44.5517,55.6896,43.9335,48.3294,5443258575.111111,17144300864.929592
May-11-2022,50.5335,53.8599,38.2896,44.7119,7148815475.555555,15167690830.443258
May-10-2022,66.8901,68.2703,43.68724693656727,49.9957,5150712517.12892,19730159484.31081
May-09-2022,62.38418223579098,73.9172,60.7944209720067,67.0372,6169869623.111111,23053383313.044434
May-08-2022,75.50131167761506,77.0683,63.3084,63.95951297192974,2918280318.197183,24050050048.15394
May-07-2022,78.9406,79.26215595345955,74.3392,74.9771435330822,2157243911.5555553,25942694094.63895
May-06-2022,81.9125,82.26695227083455,77.624,79.1325,2017830492.4444444,27166835562.302948
May-05-2022,84.5739,84.5739,80.50878350965048,81.9598,2946383160,27612495108.51632
May-04-2022,92.6471,94.82982774186311,81.8704130225609,84.6366,2533214325.7421603,29955012806.49817
